country,year,foreign_tourists
Bangladesh,2018,2256675
U.S.A,2018,1456678
U.K.,2018,1029757
Sri Lanka,2018,353684
Canada,2018,351040
Australia,2018,346486
Malaysia,2018,319172
China,2018,281768
Germany,2018,274087
Russian Fed,2018,262309
France,2018,261653
Japan,2018,236236
Singapore,2018,183581
Nepal,2018,174096
Thailand,2018,166293
Bangladesh,2019,2577727
U.S.A,2019,1512032
U.K.,2019,1000292
Australia,2019,367241
Canada,2019,351859
China,2019,339442
Malaysia,2019,334579
Sri Lanka,2019,330861
Germany,2019,264973
Russian Fed,2019,251319
France,2019,247238
Japan,2019,238903
Singapore,2019,190089
Thailand,2019,169956
Nepal,2019,164040
Bangladesh,2020,549273
U.S.A,2020,394092
U.K.,2020,291874
Canada,2020,122868
Russian Fed,2020,102166
Australia,2020,86758
France,2020,74243
Germany,2020,72558
Malaysia,2020,69897
Sri Lanka,2020,68646
Thailand,2020,52626
Japan,2020,48191
Afghanistan,2020,47561
Nepal,2020,40822
China,2020,39586
U.S.A,2021,429860
Bangladesh,2021,240554
U.K.,2021,164143
Canada,2021,80437
Nepal,2021,52544
Afghanistan,2021,36451
Australia,2021,33864
Germany,2021,33772
Portugal,2021,32064
France,2021,30374
Maldives,2021,26571
Sri Lanka,2021,25989
Russian Fed,2021,17567
Iraq,2021,16213
Netherlands,2021,15631
U.S.A,2022,1403399
Bangladesh,2022,1277557
U.K.,2022,641051
Australia,2022,376898
Canada,2022,289259
Sri Lanka,2022,183459
Germany,2022,141425
Nepal,2022,138203
Singapore,2022,132668
Malaysia,2022,126192
France,2022,120282
Russian Fed,2022,97911
Maldives,2022,71707
Portugal,2022,69522
Japan,2022,64196
