Country,Year,fta_count
Bangladesh,2018,"22,56,675"
U.S.A,2018,"14,56,678"
U.K.,2018,"10,29,757"
Sri Lanka,2018,"3,53,684"
Canada,2018,"3,51,040"
Australia,2018,"3,46,486"
Malaysia,2018,"3,19,172"
China,2018,"2,81,768"
Germany ,2018,"2,74,087"
Russian Fed,2018,"2,62,309"
France,2018,"2,61,653"
Japan,2018,"2,36,236"
Singapore,2018,"1,83,581"
Nepal,2018,"1,74,096"
Thailand,2018,"1,66,293"
Bangladesh,2019,"25,77,727"
U.S.A,2019,"15,12,032"
U.K.,2019,"10,00,292"
Australia,2019,"3,67,241"
Canada,2019,"3,51,859"
China,2019,"3,39,442"
Malaysia,2019,"3,34,579"
Sri Lanka,2019,"3,30,861"
Germany ,2019,"2,64,973"
Russian Fed,2019,"2,51,319"
France,2019,"2,47,238"
Japan,2019,"2,38,903"
Singapore,2019,"1,90,089"
Thailand,2019,"1,69,956"
Nepal,2019,"1,64,040"
Bangladesh,2020,"5,49,273"
U.S.A,2020,"3,94,092"
U.K.,2020,"2,91,874"
Canada,2020,"1,22,868"
Russian Fed,2020,"1,02,166"
Australia,2020,"86,758"
France,2020,"74,243"
Germany ,2020,"72,558"
Malaysia,2020,"69,897"
Sri Lanka,2020,"68,646"
Thailand,2020,"52,626"
Japan,2020,"48,191"
Afghanistan,2020,"47,561"
Nepal,2020,"40,822"
China,2020,"39,586"
U.S.A,2021,"4,29,860"
Bangladesh,2021,"2,40,554"
U.K.,2021,"1,64,143"
Canada,2021,"80,437"
Nepal,2021,"52,544"
Afghanistan,2021,"36,451"
Australia,2021,"33,864"
Germany ,2021,"33,772"
Portugal,2021,"32,064"
France,2021,"30,374"
Maldives,2021,"26,571"
Sri Lanka,2021,"25,989"
Russian Fed,2021,"17,567"
Iraq,2021,"16,213"
Netherlands,2021,"15,631"
U.S.A,2022,"14,03,399"
Bangladesh,2022,"12,77,557"
U.K.,2022,"6,41,051"
Australia,2022,"3,76,898"
Canada,2022,"2,89,259"
Sri Lanka,2022,"1,83,459"
Germany ,2022,"1,41,425"
Nepal,2022,"1,38,203"
Singapore,2022,"1,32,668"
Malaysia,2022,"1,26,192"
France,2022,"1,20,282"
Russian Fed,2022,"97,911"
Maldives,2022,"71,707"
Portugal,2022,"69,522"
Japan,2022,"64,196"
