region,year,fta_count
South Asia,2018," 31,04,422 "
South Asia,2019," 33,75,819 "
South Asia,2020," 7,50,061 "
South Asia,2021," 3,98,722 "
South Asia,2022," 17,23,016 "
South Asia,2023," 27,62,763 "
Western Europe,2018," 22,43,635 "
Western Europe,2019," 21,78,441 "
Western Europe,2020," 6,24,615 "
Western Europe,2021," 3,34,850 "
Western Europe,2022," 13,00,210 "
Western Europe,2023," 19,42,098 "
North America,2018," 18,07,718 "
North America,2019," 18,63,892 "
North America,2020," 5,16,960 "
North America,2021," 5,10,299 "
North America,2022," 16,92,659 "
North America,2023," 20,77,440 "
South East Asia,2018," 8,87,088 "
South East Asia,2019," 9,30,540 "
South East Asia,2020," 2,31,622 "
South East Asia,2021," 38,474 "
South East Asia,2022," 4,12,780 "
South East Asia,2023," 7,64,230 "
East Asia,2018," 7,24,568 "
East Asia,2019," 7,82,225 "
East Asia,2020," 1,30,383 "
East Asia,2021," 33,762 "
East Asia,2022," 1,36,852 "
East Asia,2023," 3,11,923 "
Eastern Europe,2018," 4,66,049 "
Eastern Europe,2019," 4,56,481 "
Eastern Europe,2020," 1,68,145 "
Eastern Europe,2021," 43,114 "
Eastern Europe,2022," 1,87,964 "
Eastern Europe,2023," 3,52,105 "
Australasia,2018," 4,12,628 "
Australasia,2019," 4,38,939 "
Australasia,2020," 1,05,047 "
Australasia,2021," 38,865 "
Australasia,2022," 4,35,674 "
Australasia,2023," 5,34,783 "
West Asia,2018," 4,49,548 "
West Asia,2019," 4,31,943 "
West Asia,2020," 97,651 "
West Asia,2021," 52,174 "
West Asia,2022," 2,60,346 "
West Asia,2023," 3,51,698 "
Africa,2018," 3,51,198 "
Africa,2019," 3,62,308 "
Africa,2020," 90,296 "
Africa,2021," 68,914 "
Africa,2022," 2,34,483 "
Africa,2023," 3,30,503 "
C&S America,2018," 1,01,085 "
C&S America,2019," 98,926 "
C&S America,2020," 26,968 "
C&S America,2021," 6,798 "
C&S America,2022," 46,157 "
C&S America,2023," 82,329 "
Not Classified elsewhere,2018," 10,037 "
Not Classified elsewhere,2019," 10,841 "
Not Classified elsewhere,2020," 3,018 "
Not Classified elsewhere,2021," 1,142 "
Not Classified elsewhere,2022," 7,326 "
Not Classified elsewhere,2023," 11,056 "
